symbol: TATATECH  - (Normal), sl: 1042   , volume: 75197,  percentage_change: 1.43, bid: [{'price': 1058.2, 'quantity': 22, 'orders': 2}, {'price': 1058.15, 'quantity': 30, 'orders': 1}, {'price': 1058.1, 'quantity': 26, 'orders': 3}, {'price': 1058.05, 'quantity': 59, 'orders': 4}, {'price': 1058, 'quantity': 770, 'orders': 6}] , sell : [{'price': 1058.75, 'quantity': 1, 'orders': 1}, {'price': 1058.8, 'quantity': 12, 'orders': 3}, {'price': 1058.85, 'quantity': 167, 'orders': 3}, {'price': 1058.9, 'quantity': 2, 'orders': 1}, {'price': 1059.05, 'quantity': 1, 'orders': 1}] , time: 2024-10-16 12:30:04.550606

---
symbol: BBETF0432  - (Normal), sl: 1204.29   , volume: 0,  percentage_change: 0.0, bid: [{'price': 1200.41, 'quantity': 49, 'orders': 1}, {'price': 1200.4, 'quantity': 99, 'orders': 2}, {'price': 1200.19, 'quantity': 8, 'orders': 1}, {'price': 1200.18, 'quantity': 3, 'orders': 1}, {'price': 1200, 'quantity': 200, 'orders': 1}] , sell : [{'price': 1204.38, 'quantity': 157, 'orders': 2}, {'price': 1204.89, 'quantity': 70, 'orders': 1}, {'price': 1204.9, 'quantity': 5000, 'orders': 1}, {'price': 1205.5, 'quantity': 10000, 'orders': 1}, {'price': 1209.38, 'quantity': 1, 'orders': 1}] , time: 2024-10-16 12:37:22.528690
symbol: COMMOIETF  - (Normal), sl: 95.27   , volume: 66,  percentage_change: 1.16, bid: [{'price': 93.66, 'quantity': 19, 'orders': 2}, {'price': 93.65, 'quantity': 74, 'orders': 4}, {'price': 93.64, 'quantity': 100, 'orders': 1}, {'price': 93.6, 'quantity': 72, 'orders': 2}, {'price': 93.56, 'quantity': 26, 'orders': 1}] , sell : [{'price': 93.75, 'quantity': 49991, 'orders': 1}, {'price': 93.86, 'quantity': 200, 'orders': 1}, {'price': 93.87, 'quantity': 44, 'orders': 1}, {'price': 93.88, 'quantity': 163, 'orders': 1}, {'price': 93.93, 'quantity': 2, 'orders': 1}] , time: 2024-10-16 12:37:49.077122
symbol: DECCANCE  - (Normal), sl: 619.05   , volume: 0,  percentage_change: 0.0, bid: [{'price': 618.25, 'quantity': 1, 'orders': 1}, {'price': 618.15, 'quantity': 5, 'orders': 1}, {'price': 618.1, 'quantity': 4, 'orders': 1}, {'price': 618.05, 'quantity': 4, 'orders': 1}, {'price': 618, 'quantity': 47, 'orders': 1}] , sell : [{'price': 619.4, 'quantity': 1, 'orders': 1}, {'price': 619.45, 'quantity': 5, 'orders': 1}, {'price': 619.5, 'quantity': 2, 'orders': 1}, {'price': 619.55, 'quantity': 1, 'orders': 1}, {'price': 619.6, 'quantity': 5, 'orders': 2}] , time: 2024-10-16 12:37:59.243675
symbol: DEEDEV  - (Normal), sl: 262   , volume: 1488,  percentage_change: 0.56, bid: [{'price': 262.05, 'quantity': 4, 'orders': 2}, {'price': 262, 'quantity': 63, 'orders': 4}, {'price': 261.95, 'quantity': 30, 'orders': 2}, {'price': 261.9, 'quantity': 3, 'orders': 1}, {'price': 261.85, 'quantity': 30, 'orders': 3}] , sell : [{'price': 262.35, 'quantity': 19, 'orders': 1}, {'price': 262.4, 'quantity': 105, 'orders': 3}, {'price': 262.45, 'quantity': 110, 'orders': 5}, {'price': 262.5, 'quantity': 126, 'orders': 4}, {'price': 262.55, 'quantity': 43, 'orders': 3}] , time: 2024-10-16 12:37:59.776375
symbol: EBBETF0425  - (Normal), sl: 1246.2   , volume: 0,  percentage_change: 0.0, bid: [{'price': 1245.75, 'quantity': 1000, 'orders': 1}, {'price': 1245.5, 'quantity': 919, 'orders': 1}, {'price': 1245, 'quantity': 20, 'orders': 1}, {'price': 1240.04, 'quantity': 8, 'orders': 1}, {'price': 1240.03, 'quantity': 1, 'orders': 1}] , sell : [{'price': 1246, 'quantity': 1498, 'orders': 1}, {'price': 1246.25, 'quantity': 1500, 'orders': 1}, {'price': 1246.45, 'quantity': 78, 'orders': 1}, {'price': 1246.5, 'quantity': 1500, 'orders': 1}, {'price': 1246.75, 'quantity': 1500, 'orders': 1}] , time: 2024-10-16 12:38:10.005890
symbol: EBBETF0431  - (Normal), sl: 1275.61   , volume: 0,  percentage_change: 0.0, bid: [{'price': 1275.65, 'quantity': 92, 'orders': 1}, {'price': 1275.6, 'quantity': 684, 'orders': 2}, {'price': 1275.59, 'quantity': 3, 'orders': 1}, {'price': 1275.1, 'quantity': 226, 'orders': 1}, {'price': 1275, 'quantity': 120, 'orders': 1}] , sell : [{'price': 1275.99, 'quantity': 5, 'orders': 1}, {'price': 1276, 'quantity': 27, 'orders': 1}, {'price': 1276.5, 'quantity': 40, 'orders': 1}, {'price': 1276.98, 'quantity': 41, 'orders': 1}, {'price': 1276.99, 'quantity': 140, 'orders': 2}] , time: 2024-10-16 12:38:10.634775
symbol: GILT5YBEES  - (Normal), sl: 58.16   , volume: 0,  percentage_change: 0.0, bid: [{'price': 58.21, 'quantity': 2109, 'orders': 1}, {'price': 58.2, 'quantity': 352, 'orders': 4}, {'price': 58.19, 'quantity': 290, 'orders': 1}, {'price': 58.18, 'quantity': 2300, 'orders': 2}, {'price': 58.17, 'quantity': 171, 'orders': 1}] , sell : [{'price': 58.24, 'quantity': 662, 'orders': 1}, {'price': 58.25, 'quantity': 9429, 'orders': 1}, {'price': 58.27, 'quantity': 2778, 'orders': 2}, {'price': 58.28, 'quantity': 4844, 'orders': 1}, {'price': 58.29, 'quantity': 900, 'orders': 2}] , time: 2024-10-16 12:38:37.578858
