symbol,change,percentage_change,price,volume,oscillators_recommendation,analysis_time,recommendation,imbalance,sellside_imabalance_ratio
ORIENTTECH,-5.699999999999989,-1.1423990379797553,493.25,16872,NEUTRAL,2025-01-01 09:26:10.294534,BUY,248,0.62
AWFIS,-7.100000000000023,-0.9646739130434814,728.9,4466,NEUTRAL,2025-01-01 09:25:11.471649,BUY,67,0.52
SDL26BEES,-1.1299999999999955,-0.8899740096085653,125.84,2,SELL,2025-01-01 09:26:23.335536,STRONG_SELL,-4399,1.83
AEGISLOG,-7.25,-0.8790542588663232,817.5,4425,NEUTRAL,2025-01-01 09:25:04.356641,SELL,137,0.37
OCCLLTD,-0.9100000000000108,-0.8347857994679486,108.1,2424,SELL,2025-01-01 09:26:09.177312,BUY,-45,1.28
SURYAROSNI,-2.5,-0.8309788931361143,298.35,13996,NEUTRAL,2025-01-01 09:26:32.715373,SELL,-362,1.87
ATUL,-55.19999999999982,-0.7902422264215744,6930,599,SELL,2025-01-01 09:25:10.275647,SELL,-9,1.64
CEATLTD,-22.75,-0.7011758179100337,3221.8,2725,NEUTRAL,2025-01-01 09:25:19.412896,NEUTRAL,4,0.76
AMBUJACEM,-3.6000000000000227,-0.6702662446471835,533.5,35266,SELL,2025-01-01 09:25:06.806750,STRONG_SELL,713,0.5
CAPLIPOINT,-16.449999999999818,-0.6507120253164485,2511.55,3790,NEUTRAL,2025-01-01 09:25:18.479966,BUY,-89,18.8
ASTRAMICRO,-4.899999999999977,-0.6367771280051953,764.6,1630,NEUTRAL,2025-01-01 09:25:09.905338,SELL,-24,1.35
REMSONSIND,-0.9200000000000159,-0.6257652020133423,146.1,1133,NEUTRAL,2025-01-01 09:26:17.699453,NEUTRAL,22,0.68
AARTIPHARM,-4.2000000000000455,-0.6071557643657456,687.55,19836,NEUTRAL,2025-01-01 09:25:04.050922,BUY,-8,1.1
VIMTALABS,-6.0499999999999545,-0.5941274673475356,1012.25,971,NEUTRAL,2025-01-01 09:26:42.614063,BUY,21,0.62
